Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
51,Himkanosea,Himkanosea,Himkanosea Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,21810,897.68,864.02,5.06,-4,13,81°F,Mogadishu (Somalia),,port,,,plaza,temple,,{t1:argent;charges:[{charge:crescent;t:gules;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Himkanosea&population=21810&size=42&seed=9336923410051&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.24
52,Drannor,Jamlunana,Jamlunana Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,15030,1082.15,916.58,3.4,1.84,2759,66°F,Marrakesh (Morocco),,,,,plaza,temple,,{t1:purpure;charges:[{charge:pillar;t:argent;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Drannor&population=15030&size=36&seed=9336923410052&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
53,Ghostmeakec,New Wilrockward,New Wilrockward Colony,Dironglia,Dironglian Empire,Dail (Human),Old Dail (Human) Beliefs,1441,880,1626.3,-19.06,-4.56,82,77°F,Miami (USA),,,,,plaza,,,{t1:argent;charges:[{charge:stirrup;t:gules;p:e;t2:gules;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1441&name=&seed=9336923410053&width=1400&height=636&tags=isolated%2Cdense
54,Nunar,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,5399,644.97,549.02,15.03,-11.99,328,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:argent;charges:[{charge:mullet6;t:gules;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Nunar&population=5399&size=25&seed=9336923410054&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.15
55,Swifthall,Bayfront,Bayfront Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,1489,1093.12,1570.11,-17.28,2.19,554,73°F,Rio de Janeiro (Brazil),,,,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:cross;t:or;line:wavy}];charges:[{charge:salmon;t:azure;p:behdf;t2:azure;size:0.3;sinister:1}];shield:roman},https://watabou.github.io/city-generator/?name=Swifthall&population=1489&size=15&seed=9336923410055&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
56,Aydi,Gakardi,Gakardi Province,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,1487,1566.41,1519.93,-15.69,17.16,13,77°F,Miami (USA),,,,,plaza,,,{t1:bendySinister-argent-sable;charges:[{charge:crossDouble;t:purpure;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1487&name=&seed=9336923410056&width=1400&height=636&tags=highway%2Cdense
57,Fahethas,New Jamlunana,New Jamlunana Colony,Silean,Thearchy of Silean,Trow (Dark Elfish),Trow (Dark Elfish) Druids,1411,1190.14,731.95,9.24,5.26,118,79°F,Jakarta (Indonesia),,,,,,,,{t1:fretty-sable-or-small;charges:[{charge:pincers;t:argent;p:e;size:1.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1411&name=&seed=9336923410057&width=1400&height=636&tags=dead+end%2Cno+square%2Cdense
58,Stagrasp,Shroutumnia,Shroutumnia Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,4604,984.7,1498.5,-15.01,-1.24,554,75°F,Dakar (Senegal),,,,,,,,{t1:barry-azure-or;division:{division:perPale;t:argent;line:straight};ordinaries:[{ordinary:gore;t:gules}];shield:roman},https://watabou.github.io/city-generator/?name=Stagrasp&population=4604&size=23&seed=9336923410058&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
59,Bozgrakh,Bra,Bra Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,6509,761.64,870.7,4.85,-8.3,328,79°F,Jakarta (Indonesia),,port,citadel,,,,,{t1:argent;division:{division:perCross;t:azure;line:straight};ordinaries:[{ordinary:pilesInPoint;t:gules}];shield:gondor},https://watabou.github.io/city-generator/?name=Bozgrakh&population=6509&size=26&seed=9336923410059&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.7
60,Rord,Bra,Bra Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,12276,710.7,960.02,2.02,-9.91,4738,63°F,Lisbon (Portugal),,,,,plaza,,,{t1:ermine-argent-sable;division:{division:perPale;t:gules;line:straight};shield:gondor},https://watabou.github.io/city-generator/?name=Rord&population=12276&size=33&seed=9336923410060&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
61,Bayli,Altakakyurt,Altakakyurt Province,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,8389,1521.28,1648.28,-19.75,15.73,13,77°F,Miami (USA),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:point;t:argent}];shield:round},https://watabou.github.io/city-generator/?name=Bayli&population=8389&size=29&seed=9336923410061&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
62,Onaneryndrafet,New Jamlunana,New Jamlunana Colony,Silean,Thearchy of Silean,Trow (Dark Elfish),Trow (Dark Elfish) Druids,2256,1222.71,698.95,10.28,6.29,82,79°F,Jakarta (Indonesia),,port,,,,temple,,{t1:or;ordinaries:[{ordinary:chief;t:gules;line:embattledGrady}];shield:gondor},https://watabou.github.io/city-generator/?name=Onaneryndrafet&population=2256&size=18&seed=9336923410062&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=0.08
63,Vrobrugh,Brug,Brug Parish,Silean,Thearchy of Silean,Uruk (Orkish),Uruk (Orkish) Beliefs,6793,981.42,1134.38,-3.49,-1.35,210,81°F,Mogadishu (Somalia),,port,citadel,,plaza,temple,,{t1:azure;ordinaries:[{ordinary:canton;t:argent}];charges:[{charge:shipWheel;t:vert;p:y;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Vrobrugh&population=6793&size=27&seed=9336923410063&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=1.43
64,Moosebonf,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,10206,838.24,1510.43,-15.39,-5.88,210,77°F,Miami (USA),,,,,plaza,,,{t1:or;charges:[{charge:goat;t:sable;p:e;t2:sable;t3:gules;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Moosebonf&population=10206&size=31&seed=9336923410064&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
65,Cyuethanugaust,Ullran,Ullran Clan,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,2250,1690.06,1225.62,-6.38,21.07,118,81°F,Mogadishu (Somalia),,port,,,,,,{t1:or;charges:[{charge:cowStatant;t:azure;p:e;t2:azure;t3:sable;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Cyuethanugaust&population=2250&size=18&seed=9336923410065&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.85
66,Reiree,Luiz'ruhn,Luiz'ruhn Territory,Ymnesin,Principality of Ymnesin,Eldar (Elfish),Eldar (Elfish) Shamanism,10105,1591.59,654.18,11.7,17.96,82,79°F,Jakarta (Indonesia),,,,walls,plaza,,,{t1:gules;division:{division:perBendSinister;t:or;line:straight};ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:lochaberAxe;t:azure;p:e;t2:azure;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Reiree&population=10105&size=31&seed=9336923410066&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
67,Shasinx,Vreaxi,Vreaxi Province,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,1352,1245.43,932.24,2.9,7.01,1588,73°F,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:canton;t:argent}];charges:[{charge:portcullis;t:gules;p:y;t2:gules;size:0.5}];shield:moriaOrc},https://watabou.github.io/village-generator/?pop=1352&name=&seed=9336923410067&width=1400&height=636&tags=river%2Chighway%2Cdense
68,Claymouth,Bayfront,Bayfront Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,3553,1058.71,1605.32,-18.39,1.1,2051,70°F,Tegucigalpa (Honduras),,,,,plaza,,,{t1:azure;division:{division:perFess;t:or;line:archedReversed};charges:[{charge:crossClechy;t:argent;p:k;size:0.7};{charge:mullet;t:gules;p:n;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Claymouth&population=3553&size=21&seed=9336923410068&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
69,Bash,Khargil,Khargil Land,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,7437,495.05,812.33,6.7,-16.74,52,81°F,Mogadishu (Somalia),,,,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:gore;t:azure}];charges:[{charge:horseshoe;t:purpure;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Bash&population=7437&size=28&seed=9336923410069&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
70,Saqsned,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Arago (Arachnid),Nandorism,6797,1295.67,1217.62,-6.13,8.6,9567,43°F,Stockholm (Sweden),,,,,plaza,,,{t1:gules;charges:[{charge:bullPassant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Saqsned&population=6797&size=27&seed=9336923410070&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
71,Pidewell,Shroutumnia,Shroutumnia Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,11725,882.13,1492.24,-14.82,-4.49,161,77°F,Miami (USA),,port,,walls,plaza,,,{t1:sable;charges:[{charge:horseshoe;t:argent;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Pidewell&population=11725&size=33&seed=9336923410071&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.35
72,Aok,Bayaztop,Bayaztop Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,5714,1395.6,1723.8,-22.14,11.76,30,73°F,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:quarter;t:argent}];charges:[{charge:anchor;t:gules;p:j;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Aok&population=5714&size=25&seed=9336923410072&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
73,Agrizg,Morb,Morb Territory,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,7313,752.87,1085.69,-1.95,-8.58,210,81°F,Mogadishu (Somalia),,port,,,plaza,temple,,{t1:pally-gules-or;ordinaries:[{ordinary:saltireParted;t:argent;line:straight}];charges:[{charge:mullet;t:sable;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Agrizg&population=7313&size=27&seed=9336923410073&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.36
74,Dyonseragithmy,Sharithes,Sharithes Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,1346,1467.76,1235.88,-6.7,14.04,328,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:mount;t:argent}];charges:[{charge:fusil;t:or;p:bdf;size:0.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=1346&name=&seed=9336923410074&width=1400&height=636&tags=river%2Chighway%2Cdense
75,Alkani,Ceri,Ceri Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,13444,1421.37,1290.46,-8.43,12.57,397,77°F,Miami (USA),,port,,walls,plaza,,,{t1:or;charges:[{charge:anchor;t:vert;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Alkani&population=13444&size=35&seed=9336923410075&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.23
76,Nyuethan,Kanfe,Kanfe Territory,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,1407,887.4,488.19,16.95,-4.32,82,75°F,Dakar (Senegal),,,,,,,,{t1:sable;charges:[{charge:scorpion;t:argent;p:e;size:1.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1407&name=&seed=9336923410076&width=1400&height=636&tags=dead+end%2Cno+square%2Cdense
77,Chugron,Bra,Bra Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,20446,677.51,910.12,3.6,-10.96,4492,64°F,Barcelona (Spain),,,,walls,plaza,temple,,{t1:vair-purpure-argent;ordinaries:[{ordinary:flaunches;t:or}];shield:gondor},https://watabou.github.io/city-generator/?name=Chugron&population=20446&size=41&seed=9336923410077&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
78,Smallreach,Bayfront,Bayfront Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,4337,1031.56,1555.13,-16.81,0.24,5250,57°F,Washington (D.C.),,,,,plaza,,,{t1:sable;charges:[{charge:dragonRampant;t:or;p:jlh;t2:or;t3:or;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Smallreach&population=4337&size=23&seed=9336923410078&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
79,Bayruk,Erbeykor,Erbeykor County,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,25556,1872.39,1043.26,-0.61,26.84,13,81°F,Mogadishu (Somalia),,port,,walls,plaza,temple,shanty town,{t1:azure;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Bayruk&population=25556&size=44&seed=9336923410079&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.27
80,Ughymmobeth,Luiz'ruhn,Luiz'ruhn Territory,Ymnesin,Principality of Ymnesin,Trow (Dark Elfish),Trow (Dark Elfish) Druids,7826,1306.18,553.37,14.89,8.93,30,77°F,Miami (USA),,port,,walls,plaza,,,{t1:lozengy-argent-vert-small;charges:[{charge:falchion;t:gules;p:e;t2:gules;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Ughymmobeth&population=7826&size=28&seed=9336923410080&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.89
81,Yelma,Yelteli,Yelteli Colony,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,9356,1810.91,1226.25,-6.4,24.9,118,81°F,Mogadishu (Somalia),,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:grapeBunch;t:vert;p:e;t2:vert;t3:vert;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Yelma&population=9356&size=30&seed=9336923410081&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
82,Thyuetheashin,Sharithes,Sharithes Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,9913,1567.32,1283.01,-8.2,17.19,82,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:sable;charges:[{charge:crossFormee2;t:argent;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Thyuetheashin&population=9913&size=31&seed=9336923410082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
83,Mythtari,Mythtari,Mythtari County,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,20003,1045.7,550.29,14.99,0.69,13,77°F,Miami (USA),,port,citadel,walls,plaza,,,{t1:azure;division:{division:perPale;t:or;line:urdy};charges:[{charge:dolphin;t:argent;p:p;t2:argent;size:0.7};{charge:grapeBunch2;t:sable;p:q;size:0.7;sinister:1}];shield:gondor},https://watabou.github.io/city-generator/?name=Mythtari&population=20003&size=40&seed=9336923410083&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.29
84,Ayraztop,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,9007,1284.7,1417.1,-12.44,8.25,4019,64°F,Barcelona (Spain),,,,,plaza,,,{t1:gules;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Ayraztop&population=9007&size=30&seed=9336923410084&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
85,Shreel's,Wruil,Wruil Territory,Cielb,Republic of Cielb,Arago (Arachnid),Arago (Arachnid) Gods,1493,1273.48,1056.82,-1.04,7.89,6352,55°F,Milan (Italy),,,,,plaza,,,{t1:sable;division:{division:perPale;t:or;line:straight};charges:[{charge:cavalier;t:argent;p:p;t2:argent;t3:argent;size:0.7};{charge:drum;t:purpure;p:q;size:0.7}];shield:moriaOrc},https://watabou.github.io/village-generator/?pop=1493&name=&seed=9336923410085&width=1400&height=636&tags=highway%2Cfarmland%2Cdense
86,Uzzed,Morb,Morb Territory,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1587,813.18,1018.11,0.19,-6.67,210,81°F,Mogadishu (Somalia),,port,,,plaza,,,{t1:argent;division:{division:perCross;t:vert;line:straight};charges:[{charge:eagle;t:sable;p:j;t2:sable;t3:sable;size:0.6};{charge:crossHummetty;t:or;p:l;size:0.6};{charge:archer;t:argent;p:m;size:0.6};{charge:armillarySphere;t:azure;p:o;size:0.6}];shield:gondor},https://watabou.github.io/village-generator/?pop=1587&name=&seed=9336923410086&width=1600&height=727&tags=coast%2Chighway%2Cno+orchards%2Cdense
87,Wilrockward,Wilrockward,Wilrockward Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,17374,1051.7,1687.3,-20.99,0.88,161,75°F,Dakar (Senegal),,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:dragonPassant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Wilrockward&population=17374&size=38&seed=9336923410087&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
88,Bilnulbunba,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,5910,497.86,753.62,8.55,-16.65,30,79°F,Jakarta (Indonesia),,,citadel,,plaza,temple,,{t1:azure;charges:[{charge:bridge;t:argent;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Bilnulbunba&population=5910&size=25&seed=9336923410088&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
89,Yani,Bayaztop,Bayaztop Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,1428,1452.7,1759.9,-23.28,13.56,30,73°F,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:gules;charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1428&name=&seed=9336923410089&width=1400&height=636&tags=dead+end%2Cdense
90,Mosshear,Shroutumnia,Shroutumnia Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,2866,919.57,1421.8,-12.59,-3.3,3153,68°F,Alexandria (Egypt),,,,,,,,{t1:argent;charges:[{charge:castle;t:gules;p:abc;t2:gules;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Mosshear&population=2866&size=19&seed=9336923410090&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
91,Ambermefair,Bayfront,Bayfront Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,5562,968.97,1561.9,-17.02,-1.74,266,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:azure;charges:[{charge:sabre2;t:or;p:abc;t2:or;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Ambermefair&population=5562&size=25&seed=9336923410091&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.72
92,Vreaxi,Vreaxi,Vreaxi Province,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,13595,1283.99,956.97,2.12,8.23,9567,45°F,Montreal (Canada),,,,walls,plaza,,,{t1:azure;charges:[{charge:wolfPassant;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Vreaxi&population=13595&size=35&seed=9336923410092&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
93,Matheassadra,New Jamlunana,New Jamlunana Colony,Silean,Thearchy of Silean,Trow (Dark Elfish),Trow (Dark Elfish) Druids,2255,1226.17,722.09,9.55,6.4,52,79°F,Jakarta (Indonesia),,port,,,plaza,,,{t1:azure;charges:[{charge:compassRose;t:argent;p:kmo;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Matheassadra&population=2255&size=18&seed=9336923410093&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.88
94,Bhurkril,Bhurkril,Bhurkril Region,Silean,Thearchy of Silean,Uruk (Orkish),Uruk (Orkish) Beliefs,2783,1136.23,1013.11,0.34,3.55,161,81°F,Mogadishu (Somalia),,,,,,temple,,{t1:semy_of_crossCarolingian-azure-argent;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:sunInSplendour;t:or;p:abc;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Bhurkril&population=2783&size=19&seed=9336923410094&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
95,Grid,Nazadh,Nazadh Land,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,7497,426.24,1128.35,-3.3,-18.91,13,81°F,Mogadishu (Somalia),,port,,,plaza,temple,,{t1:or;ordinaries:[{ordinary:pale;t:gules;line:straight}];charges:[{charge:annulet;t:argent;p:e;size:0.7}];shield:gondor},https://watabou.github.io/city-generator/?name=Grid&population=7497&size=28&seed=9336923410095&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.22
96,Mosshield,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Dail (Human),Dail (Human)ism,8235,1104.23,1330.13,-9.69,2.54,643,77°F,Miami (USA),,,,,plaza,,,{t1:azure;division:{division:perPale;t:argent;line:arched};charges:[{charge:trowel;t:or;p:e;t2:or;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Mosshield&population=8235&size=29&seed=9336923410096&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
97,Kharad,Kanfe,Kanfe Territory,Hloiriat,Kingdom of Hloiriat,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,1365,823.76,548.35,15.05,-6.34,6067,55°F,Milan (Italy),,,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:nebuly}];charges:[{charge:axe;t:argent;p:abc;t2:argent;size:0.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1365&name=&seed=9336923410097&width=1400&height=636&tags=dead+end%2Cno+square%2Cdense
98,Eebtong,Vohzit,Vohzit Canton,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,8179,1340.24,936.03,2.78,10.01,643,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:gules;division:{division:perBendSinister;t:argent;line:straight};charges:[{charge:heart;t:or;p:jo;divided:counter;size:0.7}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Eebtong&population=8179&size=29&seed=9336923410098&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
99,Gerkrun,Ghodog,Ghodog Deanery,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1594,696.3,801.98,7.02,-10.37,266,77°F,Miami (USA),,port,,,plaza,temple,,{t1:potent-or-vert;division:{division:perPale;t:azure;line:straight};charges:[{charge:dolphin;t:gules;p:p;t2:gules;size:0.7};{charge:chalice;t:argent;p:q;size:0.7}];shield:gondor},https://watabou.github.io/city-generator/?name=Gerkrun&population=1594&size=16&seed=9336923410099&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.55
100,Algepesen,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,6565,1262.78,1448.62,-13.44,7.56,3153,64°F,Barcelona (Spain),,,,,,,,{t1:sable;charges:[{charge:palmTree;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Algepesen&population=6565&size=26&seed=9336923410100&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
101,Gagielt,Qe,Qe Parish,Pyreaz,Pyreaz Theocracy,Kobold (Goblin),Kobold (Goblin) Beliefs,4721,1308.58,1075.18,-1.62,9,1890,72°F,Guangzhou (China),,,,walls,plaza,,,{t1:argent;division:{division:perFess;t:gules;line:urdy};charges:[{charge:apple;t:purpure;p:k;t2:azure;size:0.7};{charge:lizard;t:argent;p:n;size:0.7}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Gagielt&population=4721&size=23&seed=9336923410101&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
